time,rgdpi,rexp,rincome,unemp,rgdp,fedfund,inflation,bank_id,size,commercial,concent_re,npl_re,provision,personnel,nii_avgass,netinc,concent_ind,dep_dem,npl_cc,concent_agro,concent_cc,concent_auto,concent_commind,dep_core,tier1
1/1/2003,1.6,2,1.5,5.866666667,1.6,1.25,2.1737766,101,3,0,538.07,0.02,0.11,1.21,3.47,1.06,50.71,3.43,0.02,0.17,0.2,0,50.28,64.87,14.65
4/1/2003,1.5,4.7,2,6.133333333,1.5,1.22,1.3430789,101,3,0,547.34,0.02,0.1,1.2,3.38,1.07,49.05,3.4,0.03,0.27,0.19,0,52.33,64.63,14.96
7/1/2003,3.2,5.8,3.6,6.133333333,3.2,1.01,2.484186333,101,3,0,544.4,0.02,0.1,1.21,3.26,1.07,49.73,3.33,0.04,0.26,0.2,0,51.37,64.04,14.83
10/1/2003,-2.1,2.8,3.3,5.833333333,-2.1,0.98,1.911687133,101,3,0,559.19,0.02,0.08,1.22,3.3,0.91,49.25,3.32,0.01,0.3,0.2,0,51.61,64.31,14.99
1/1/2004,-2.4,3.8,3.8,5.7,-2.4,1,2.817922467,101,3,0,561.06,0.02,0.07,1.26,3.32,1.05,43.54,3.14,0,0.3,0.18,0,47.83,61.62,14.93
4/1/2004,0.9,2.2,3.5,5.6,0.9,1.03,2.310066167,101,3,0,547.01,0.03,0.07,1.18,3.22,0.99,42.93,3.15,0,0.22,0.08,0,43.65,61.97,15.6
7/1/2004,0.6,4.8,2.5,5.433333333,0.6,1.61,1.9269524,101,3,0,546.78,0.02,0.05,1.18,3.26,0.92,34.58,3.22,0,0.21,0.07,0,44.79,61.47,15.41
10/1/2004,0.4,4.6,3.5,5.433333333,0.4,2.16,2.204867667,101,3,0,572,0.01,0.07,1.17,3.3,0.9,36.05,3.34,0.04,0.07,0.08,0,45.34,60.57,14.95
1/1/2005,0.3,2.6,1.8,5.3,0.3,2.63,2.546322033,101,3,0,564.37,0.03,0.07,1.18,3.21,0.91,36.17,3.32,0,0.02,0.09,0,43.39,60.24,15.23
4/1/2005,-2.5,4.5,1.7,5.1,-2.5,3.04,2.124910003,101,3,0,582.21,0.02,0.06,1.18,3.22,0.93,36.68,3.38,0.28,0.06,0.13,0,45.11,58.79,14.83
7/1/2005,1.2,3.4,1.4,4.966666667,1.2,3.62,2.467696767,101,3,0,581.22,0.03,0.05,1.16,3.12,0.92,37.72,3.27,0.22,0.05,0.09,0,42.76,59.06,14.78
10/1/2005,-0.9,0.7,1,4.966666667,-0.9,4.16,2.745949233,101,3,0,561.1,0.03,0.08,1.17,3.1,0.78,32.74,3.24,0.17,0.04,0.08,0,43.11,59.06,16.26
1/1/2006,3.2,4.4,4.3,4.733333333,3.2,4.59,2.995864633,101,3,0,554.17,0.02,0.06,1.19,3.03,0.82,31.77,3.07,0.14,0.04,0.08,0,45.54,58.72,16.32
4/1/2006,-4.5,2.1,3.7,4.633333333,-4.5,4.99,3.937975233,101,3,0,559.41,0.02,0.07,1.17,2.93,0.82,32.35,3.05,0,0.04,0.04,0,47.74,58.21,15.38
7/1/2006,-0.4,2.6,3.5,4.633333333,-0.4,5.25,3.173847167,101,3,0,560.92,0.02,0.08,1.17,2.9,0.73,30.92,2.85,0.14,0.02,0.09,0,44.54,57.16,15.4
10/1/2006,2.8,3.9,3.9,4.433333333,2.8,5.24,2.397725133,101,3,0,558.46,0.02,0.07,1.16,2.83,0.71,29.83,2.81,0.06,0.02,0.05,0,45.05,57.24,15.69
1/1/2007,-2.2,2.5,2.6,4.5,-2.2,5.26,2.935688833,101,3,0,563.67,0.02,0.08,1.16,2.77,0.73,28.95,2.53,0.12,0.02,0.04,0,45.94,57.45,15.62
4/1/2007,1.4,1.1,2.7,4.5,1.4,5.25,2.022198767,101,3,0,585.43,0.03,0.07,1.16,2.85,0.75,30.03,2.59,0.98,0.02,0.05,0,47.19,57.89,14.88
7/1/2007,-0.2,2.7,2.7,4.666666667,-0.2,4.94,2.585464433,101,3,0,590.7,0.03,0.11,1.15,2.82,0.63,22.88,2.85,5.1,0.02,0.02,0,39.42,57.2,15.05
10/1/2007,0.1,1.6,1.5,4.8,0.1,4.24,3.313651733,101,3,0,598.79,0.02,0.21,1.17,2.82,0.6,24.2,2.76,0.1,0.02,0.03,0,44.04,56.25,14.8
1/1/2008,-4.1,-0.5,1,5,-4.1,2.61,2.841821967,101,3,0,593.12,0.03,0.12,1.17,2.64,0.58,19.25,2.56,0.23,0.03,0.02,0,39.47,55.39,14.95
4/1/2008,3.9,1.1,2.4,5.333333333,3.9,2,3.016511267,101,3,0,621.4,0.03,0.26,1.19,2.77,0.41,17.48,2.66,0.22,0.02,0.02,0,41.54,55.67,14.4
7/1/2008,-4.4,-3,0.2,6,-4.4,1.81,3.1400506,101,3,0,637.12,0.05,0.36,1.17,2.96,-0.15,17.5,2.71,0.37,0.03,0.02,0,41.94,54.86,14.08
10/1/2008,-6.4,-3.6,1.2,6.866666667,-6.4,0.16,1.536338433,101,3,0,628.81,0.07,0.59,1.17,3,-0.5,16.25,2.61,0.11,0.02,0.02,0,43.66,55.09,14.13
1/1/2009,3.9,-1,0.8,8.266666667,3.9,0.18,2.1323338,101,3,0,622.14,0.09,0.4,1.21,2.85,0.03,15.62,2.41,0.42,0.03,0.02,0,41.93,57,13.9
4/1/2009,3.9,-2,-0.6,9.3,3.9,0.21,1.560174167,101,3,0,607.36,0.09,0.54,1.19,2.83,0.08,14.72,2.4,0.12,0.02,0.02,0,41.96,58.65,14.21
7/1/2009,2.2,2.7,0.2,9.633333333,2.2,0.15,1.237772933,101,3,0,605.47,0.11,0.65,1.21,2.93,0.11,14.94,2.39,0.27,0.03,0.02,0,41.57,59.32,14.25
10/1/2009,2.8,-0.4,-0.7,9.933333333,2.8,0.12,0.37784177,101,3,0,593.66,0.05,0.9,1.2,3.01,-0.03,13.92,2.4,0.07,0.04,0.02,0,41.5,60.02,14.45
1/1/2010,-2.3,2.3,0.3,9.833333333,-2.3,0.16,0.556711583,101,3,0,584.64,0.09,0.47,1.26,3.09,0.44,12.88,2.38,0.28,0.04,0.02,0,41.59,70.1,15.02
4/1/2010,1.9,3.6,1.4,9.633333333,1.9,0.18,0.969854123,101,3,0,578.69,0.07,0.43,1.29,3.16,0.4,10.43,2.44,0.33,0.03,0.04,0,40.11,70.43,15.16
7/1/2010,-0.8,2.9,3.3,9.466666667,-0.8,0.19,0.767667653,101,3,0,568.41,0.07,0.54,1.29,3.15,0.55,9.19,2.43,0.19,0.03,0.03,0,39.73,70.61,15.45
10/1/2010,-1,2.5,3.5,9.5,-1,0.18,1.056716483,101,3,0,575.52,0.13,0.44,1.29,3.14,0.43,10.37,2.5,1.87,0.02,0.04,0,41.01,71.06,15.4
1/1/2011,-3.1,1.5,3.7,9.033333333,-3.1,0.14,1.956926067,101,3,0,553.99,0.11,0.22,1.31,3.17,0.59,9.82,2.63,0.49,0.02,0.04,2.5,40.94,71.8,16
4/1/2011,3.7,0.4,1.7,9.066666667,3.7,0.09,1.421443067,101,3,0,540.13,0.1,0.3,1.32,3.17,0.59,9.44,2.52,1.07,0.02,0.05,2.26,41.01,71.92,16.27
7/1/2011,-2.9,1.2,1.5,9,-2.9,0.08,2.482953367,101,3,0,537.7,0.1,0.36,1.36,3.16,0.59,9.35,2.71,0.82,0.03,0.05,2.14,40.71,72.7,16.37
10/1/2011,4.8,0.7,1.4,8.633333333,4.8,0.07,2.338421633,101,3,0,533.18,0.28,0.44,1.35,3.2,0.66,9.91,2.8,1.2,0.04,0.04,2.06,43.92,72.61,16.52
1/1/2012,-1.3,2.9,2.3,8.266666667,-1.3,0.13,2.266565867,101,3,0,485.37,0.14,0.27,1.29,3.28,0.68,12.41,3.36,0.3,0.12,0.14,2.89,29.25,70.35,18.45
4/1/2012,-1.5,0.7,3.5,8.2,-1.5,0.16,1.883735467,101,3,0,482.79,0.13,0.29,1.32,3.11,0.7,11.31,3.37,0.37,0.18,0.14,2.16,28.58,70.08,18.93
7/1/2012,-1.1,0.8,2.4,8.033333333,-1.1,0.14,2.397231067,101,3,0,490.1,0.13,0.28,1.35,3.13,0.8,11.6,3.4,0.23,0.19,0.15,1.93,29.88,70.69,18.41
10/1/2012,-0.3,1.6,4.9,7.8,-0.3,0.16,1.896425767,101,3,0,496.14,0.12,0.24,1.36,3.16,0.8,11.45,3.43,0.15,0.14,0.14,2.14,31.21,70.34,18.51
1/1/2013,3.1,2.1,-1,7.733333333,3.1,0.14,2.224480567,101,3,0,488.48,0.12,0.14,1.44,3.09,0.85,11.22,3.66,0.26,0.12,0.16,2.18,31.05,71.3,18.65
4/1/2013,-2.9,0.6,-1.2,7.533333333,-2.9,0.09,0.997089787,101,3,0,486.47,0.13,0.16,1.44,3.04,0.81,11.28,3.65,0.31,0.12,0.17,2.1,32.28,70.77,18.69
7/1/2013,2.6,1.5,-0.1,7.233333333,2.6,0.08,2.4532932,101,3,0,486.29,0.13,0.09,1.45,3.04,0.71,11.77,3.68,0.11,0.12,0.12,2.72,33.61,70.26,18.68
10/1/2013,-0.3,3.2,-2.6,6.933333333,-0.3,0.09,1.819487333,101,3,0,492.82,0.1,0.1,1.42,3.07,0.69,13.56,3.62,0.36,0.19,0.13,3.78,34.82,69.51,18.5
