time,rgdpi,rexp,rincome,unemp,rgdp,fedfund,inflation,bank_id,size,commercial,concent_re,npl_re,provision,personnel,nii_avgass,netinc,concent_ind,dep_dem,npl_cc,concent_agro,concent_cc,concent_auto,concent_commind,dep_core,tier1
1/1/2003,1.6,2,1.5,5.866666667,1.6,1.25,2.1737766,102,2,0,545.3,0.05,0.07,1.39,3.51,0.85,16.57,5.02,0.41,0.04,0.17,0,28.13,68.74,16.79
4/1/2003,1.5,4.7,2,6.133333333,1.5,1.22,1.3430789,102,2,0,541.84,0.05,0.08,1.39,3.46,0.89,15.59,5.15,0.15,0.04,0.17,0,27.3,68.74,16.81
7/1/2003,3.2,5.8,3.6,6.133333333,3.2,1.01,2.484186333,102,2,0,540.8,0.06,0.06,1.39,3.35,0.86,14.89,5.19,0.2,0.04,0.14,0,26.97,68.76,17.08
10/1/2003,-2.1,2.8,3.3,5.833333333,-2.1,0.98,1.911687133,102,2,0,539.69,0.04,0.06,1.39,3.41,0.79,14.78,5.16,0.1,0.03,0.14,0,26.52,67.89,17.29
1/1/2004,-2.4,3.8,3.8,5.7,-2.4,1,2.817922467,102,2,0,540.47,0.04,0.05,1.44,3.42,0.81,13.81,5.15,0.11,0.03,0.13,0,26.3,67.52,17.25
4/1/2004,0.9,2.2,3.5,5.6,0.9,1.03,2.310066167,102,2,0,549.91,0.04,0.06,1.41,3.36,0.78,14.04,5.15,0.08,0.04,0.12,0,27.52,67.34,17.13
7/1/2004,0.6,4.8,2.5,5.433333333,0.6,1.61,1.9269524,102,2,0,552.93,0.05,0.05,1.41,3.36,0.78,13.5,5.12,0.19,0.04,0.12,0,25.71,66.52,17.37
10/1/2004,0.4,4.6,3.5,5.433333333,0.4,2.16,2.204867667,102,2,0,548.88,0.03,0.06,1.44,3.4,0.73,12.89,5.18,0.17,0.06,0.1,0,25.2,66.34,17.71
1/1/2005,0.3,2.6,1.8,5.3,0.3,2.63,2.546322033,102,2,0,551.74,0.02,0.05,1.45,3.39,0.76,12.66,5.1,0.1,0.04,0.08,0,25.2,65.63,17.74
4/1/2005,-2.5,4.5,1.7,5.1,-2.5,3.04,2.124910003,102,2,0,558.78,0.03,0.06,1.45,3.37,0.75,13.83,5.18,0.11,0.02,0.04,0,26.47,64.72,17.45
7/1/2005,1.2,3.4,1.4,4.966666667,1.2,3.62,2.467696767,102,2,0,570.04,0.03,0.06,1.46,3.34,0.76,13.86,5.21,0.13,0.02,0.03,0,26.4,64.36,17.29
10/1/2005,-0.9,0.7,1,4.966666667,-0.9,4.16,2.745949233,102,2,0,574.1,0.04,0.06,1.46,3.26,0.66,13.75,5.14,0.41,0,0.03,0,25.79,62.95,17.4
1/1/2006,3.2,4.4,4.3,4.733333333,3.2,4.59,2.995864633,102,2,0,576.3,0.02,0.05,1.47,3.21,0.66,13.43,4.7,0.29,0.01,0.03,0,26.18,62.54,17.3
4/1/2006,-4.5,2.1,3.7,4.633333333,-4.5,4.99,3.937975233,102,2,0,590.33,0.03,0.05,1.45,3.15,0.64,13.02,4.68,0.28,0.02,0.03,0,26.93,61.83,16.8
7/1/2006,-0.4,2.6,3.5,4.633333333,-0.4,5.25,3.173847167,102,2,0,586.42,0.04,0.05,1.45,3.09,0.63,13.49,4.54,0.19,0.01,0.03,0,27.34,61.17,17.03
10/1/2006,2.8,3.9,3.9,4.433333333,2.8,5.24,2.397725133,102,2,0,587.82,0.03,0.05,1.45,3,0.55,13.7,4.46,0.35,0,0.03,0,28.26,60.79,16.93
1/1/2007,-2.2,2.5,2.6,4.5,-2.2,5.26,2.935688833,102,2,0,580.36,0.04,0.04,1.48,2.95,0.53,14.12,4.18,0.32,0.01,0.03,0,28.86,60.99,16.88
4/1/2007,1.4,1.1,2.7,4.5,1.4,5.25,2.022198767,102,2,0,572.72,0.04,0.04,1.47,2.98,0.57,15.64,4.29,0.21,0.01,0.03,0,30.25,61.4,17.07
7/1/2007,-0.2,2.7,2.7,4.666666667,-0.2,4.94,2.585464433,102,2,0,578.87,0.05,0.06,1.47,3.01,0.55,16,4.21,0.15,0.01,0.02,0,31.31,60.18,17.06
10/1/2007,0.1,1.6,1.5,4.8,0.1,4.24,3.313651733,102,2,0,587.66,0.05,0.08,1.49,2.99,0.46,16.44,4.29,0.14,0.04,0.02,0,32.86,59.83,16.49
1/1/2008,-4.1,-0.5,1,5,-4.1,2.61,2.841821967,102,2,0,590.88,0.06,0.07,1.49,2.96,0.44,15.55,4.01,0.17,0.07,0.02,0,34.47,59.47,16.16
4/1/2008,3.9,1.1,2.4,5.333333333,3.9,2,3.016511267,102,2,0,605.2,0.06,0.15,1.47,3.05,0.43,15.47,4.08,0.2,0.07,0.02,0,34.58,59.48,15.86
7/1/2008,-4.4,-3,0.2,6,-4.4,1.81,3.1400506,102,2,0,633.18,0.08,0.18,1.46,3.15,-0.51,15.49,4.08,0.2,0.09,0.02,0,35.66,59.35,15.47
10/1/2008,-6.4,-3.6,1.2,6.866666667,-6.4,0.16,1.536338433,102,2,0,645.77,0.1,0.38,1.46,3.15,-0.09,15.68,4.01,0.3,0.08,0.02,0,36.93,58.45,15.05
1/1/2009,3.9,-1,0.8,8.266666667,3.9,0.18,2.1323338,102,2,0,635.8,0.08,0.25,1.46,3.1,0.34,14.67,3.84,2.12,0.1,0.01,0,36.85,59.58,15.25
4/1/2009,3.9,-2,-0.6,9.3,3.9,0.21,1.560174167,102,2,0,623.52,0.1,0.4,1.45,3.1,0.18,14.66,3.97,1.88,0.15,0.01,0,36.03,60.45,15.31
7/1/2009,2.2,2.7,0.2,9.633333333,2.2,0.15,1.237772933,102,2,0,604.8,0.08,0.37,1.44,3.14,0.25,13.81,3.96,0.41,0.11,0.01,0,34.75,60.86,15.75
10/1/2009,2.8,-0.4,-0.7,9.933333333,2.8,0.12,0.37784177,102,2,0,598.99,0.1,0.42,1.44,3.21,0.27,13.68,4.05,0.16,0.18,0.01,0,34.79,61.32,15.83
1/1/2010,-2.3,2.3,0.3,9.833333333,-2.3,0.16,0.556711583,102,2,0,585.21,0.11,0.25,1.45,3.28,0.45,12.86,4.23,0.28,0.2,0.01,0,33.6,71.9,16.2
4/1/2010,1.9,3.6,1.4,9.633333333,1.9,0.18,0.969854123,102,2,0,579.6,0.11,0.3,1.46,3.31,0.43,12.48,4.27,0.45,0.19,0.01,0,34.02,72.73,16.49
7/1/2010,-0.8,2.9,3.3,9.466666667,-0.8,0.19,0.767667653,102,2,0,565.48,0.11,0.31,1.46,3.32,0.43,11.88,4.42,0.96,0.19,0.01,0,33.6,73.31,16.9
10/1/2010,-1,2.5,3.5,9.5,-1,0.18,1.056716483,102,2,0,549.44,0.09,0.31,1.5,3.31,0.45,11.3,4.63,0.45,0.21,0,0,34.44,73.65,17.42
1/1/2011,-3.1,1.5,3.7,9.033333333,-3.1,0.14,1.956926067,102,2,0,537.71,0.08,0.22,1.53,3.33,0.45,11.03,4.75,0.17,0.22,0,2.85,33.89,73.65,17.71
4/1/2011,3.7,0.4,1.7,9.066666667,3.7,0.09,1.421443067,102,2,0,533.87,0.08,0.27,1.52,3.35,0.45,10.91,4.81,0.96,0.3,0,2.57,34.19,73.82,17.63
7/1/2011,-2.9,1.2,1.5,9,-2.9,0.08,2.482953367,102,2,0,528.99,0.08,0.25,1.52,3.35,0.47,10.61,4.98,0.39,0.3,0,2.36,33.93,74.37,17.74
10/1/2011,4.8,0.7,1.4,8.633333333,4.8,0.07,2.338421633,102,2,0,530.39,0.06,0.32,1.51,3.34,0.39,10.26,5.35,0.3,0.25,0,2.24,33.79,74.34,17.74
1/1/2012,-1.3,2.9,2.3,8.266666667,-1.3,0.13,2.266565867,102,2,0,513.98,0.05,0.24,1.55,3.32,0.55,10.08,5.56,0.11,0.27,0.02,2.49,28.89,74.91,18.49
4/1/2012,-1.5,0.7,3.5,8.2,-1.5,0.16,1.883735467,102,2,0,509.49,0.05,0.25,1.54,3.36,0.57,10.62,5.62,0.1,0.25,0.02,2.68,29.85,74.89,18.69
7/1/2012,-1.1,0.8,2.4,8.033333333,-1.1,0.14,2.397231067,102,2,0,503.26,0.04,0.23,1.53,3.32,0.6,10.54,5.68,0.13,0.28,0.02,2.78,28.6,74.8,19.14
10/1/2012,-0.3,1.6,4.9,7.8,-0.3,0.16,1.896425767,102,2,0,500.36,0.03,0.23,1.56,3.29,0.55,10.4,5.96,0.28,0.31,0.03,2.75,29.95,75.21,19.39
1/1/2013,3.1,2.1,-1,7.733333333,3.1,0.14,2.224480567,102,2,0,491.72,0.03,0.13,1.59,3.24,0.58,9.83,6.17,0.29,0.3,0.02,2.55,28.98,75.39,19.55
4/1/2013,-2.9,0.6,-1.2,7.533333333,-2.9,0.09,0.997089787,102,2,0,492.4,0.03,0.13,1.59,3.24,0.58,9.97,6.37,0.24,0.3,0.03,2.63,29.98,75.45,19.57
7/1/2013,2.6,1.5,-0.1,7.233333333,2.6,0.08,2.4532932,102,2,0,494.93,0.04,0.11,1.58,3.28,0.58,9.63,6.53,0.13,0.29,0.02,2.48,29.76,75.43,19.53
10/1/2013,-0.3,3.2,-2.6,6.933333333,-0.3,0.09,1.819487333,102,2,0,495.94,0.03,0.11,1.6,3.31,0.53,9.67,6.65,0.13,0.35,0.03,2.42,30.39,74.98,19.37
1/1/2014,-4.3,1.5,2.7,6.666666667,-4.3,0.08,2.022960733,102,2,0,492.97,0.02,0.07,1.61,3.28,0.53,9.19,6.69,0.11,0.27,0.02,2.37,29.38,74.78,19.66
4/1/2014,6.6,3.8,3.3,6.2,6.6,0.1,2.2803082,102,2,0,498.95,0.02,0.07,1.6,3.3,0.58,8.91,6.87,0.15,0.3,0.02,2.39,30.21,74.43,19.63
7/1/2014,-0.5,4,4.1,6.066666667,-0.5,0.09,1.695814233,102,2,0,500.63,0.03,0.08,1.58,3.31,0.6,8.86,7.1,0.11,0.43,0.03,2.39,30.56,74.28,19.7
10/1/2014,-2.9,4.5,5.2,5.7,-2.9,0.12,1.888305933,102,2,0,506.32,0.03,0.08,1.59,3.33,0.56,9.16,7.14,0.36,0.47,0.03,2.29,31.06,73.81,19.42
1/1/2015,1.5,2.7,5.3,5.533333333,1.5,0.11,2.135416533,102,2,0,503.53,0.02,0.07,1.61,3.29,0.59,8.81,7.42,0.19,0.47,0.03,2.08,30.65,73.85,19.14
4/1/2015,-1,2.7,4.2,5.433333333,-1,0.13,2.745550967,102,2,0,504.13,0.03,0.07,1.62,3.29,0.62,7.65,7.53,0.1,0.48,0.03,1.7,31.03,73.64,19.33
7/1/2015,-1,3.1,3.6,5.1,-1,0.14,2.354353367,102,2,0,506.12,0.02,0.05,1.62,3.32,0.64,7.85,7.66,0.12,0.49,0.03,1.73,30.71,73.37,19.39
10/1/2015,-0.7,2,2.8,5.033333333,-0.7,0.24,2.5450137,102,2,0,516.99,0.02,0.07,1.61,3.3,0.59,7.65,7.83,0.13,0.58,0.03,1.61,30.74,73.47,19.22
1/1/2016,1.8,3,2.3,4.9,1.8,0.36,2.486848,102,2,0,521.93,0.02,0.06,1.6,3.3,0.61,6.99,8.06,0.1,0.5,0.02,1.37,31.06,73.51,19.13
4/1/2016,-1.2,2,1.8,4.933333333,-1.2,0.38,2.893692,102,2,0,526.65,0.02,0.07,1.59,3.28,0.65,7.26,8.07,0.01,0.56,0.02,1.53,31.36,73.13,19.07
7/1/2016,1.2,2.4,1.7,4.9,1.2,0.4,2.607245467,102,2,0,529.94,0.02,0.06,1.59,3.29,0.65,7.07,8.2,0.07,0.54,0.03,1.47,31.67,73.16,18.92
10/1/2016,-0.4,2,1.6,4.766666667,-0.4,0.54,2.396777,102,2,0,531.72,0.02,0.06,1.6,3.28,0.61,7.2,8.27,0.03,0.53,0.03,1.39,30.84,73.43,19.08
1/1/2017,-0.3,2.9,1.8,4.566666667,-0.3,0.79,1.932339233,102,2,0,529.61,0.01,0.07,1.57,3.29,0.63,6.99,8.69,0.03,0.53,0.02,1.29,31.15,73.72,18.98
4/1/2017,0.3,1.6,3,4.366666667,0.3,1.04,1.635852,102,2,0,533.37,0.02,0.07,1.56,3.34,0.66,7.03,8.74,0.17,0.63,0.03,1.36,31.66,73.35,18.95
7/1/2017,1.4,2.4,3.1,4.333333333,1.4,1.15,2.477825,102,2,0,530.9,0.02,0.07,1.57,3.36,0.68,7.42,8.66,0.24,0.71,0.04,1.45,31.21,72.9,19.27
10/1/2017,0.7,4.4,3,4.166666667,0.7,1.3,2.471365333,102,2,0,538.46,0.02,0.06,1.58,3.35,0.23,6.84,8.84,0.22,0.57,0.04,1.36,31.13,72.36,19.32
1/1/2018,-1.3,2.7,3,4.033333333,-1.3,1.51,2.899897667,102,2,0,537.21,0.01,0.06,1.59,3.3,0.71,6.84,8.81,0.11,0.46,0.04,1.39,29.82,72.25,19.43
4/1/2018,0,2.9,2.8,3.933333333,0,1.82,2.367133667,102,2,0,541.15,0.02,0.06,1.55,3.3,0.74,7.11,8.62,0.22,0.5,0.03,1.35,28.86,71.8,19.51
7/1/2018,0.1,2.6,3.4,3.766666667,0.1,1.95,2.113629333,102,2,0,540.21,0.01,0.06,1.57,3.34,0.76,7.54,9.28,0.18,0.64,0.04,1.55,28.39,71.51,19.79
10/1/2018,-2.2,1.8,4.1,3.833333333,-2.2,2.27,2.480748,102,2,0,540.88,0.01,0.06,1.59,3.3,0.65,8.52,9.22,0.26,0.6,0.03,1.84,28.23,71.59,19.9
1/1/2019,1.5,0.4,4.4,3.866666667,1.5,2.41,2.639438,102,2,0,533.74,0.02,0.05,1.61,3.27,0.72,8.04,9.13,0.04,0.57,0.02,1.78,28.19,71.71,20.15
4/1/2019,0.5,2.6,3.5,3.633333333,0.5,2.38,2.455842333,102,2,0,525.78,0.01,0.05,1.6,3.25,0.73,8.95,9.02,0.05,0.72,0.02,2,28.67,71.75,20.34
7/1/2019,0.9,3.4,3.2,3.633333333,0.9,2.04,2.854942333,102,2,0,523.92,0.02,0.05,1.59,3.22,0.74,8.79,9.27,0.01,0.7,0.02,2.03,28.54,71.82,20.24
10/1/2019,-1.8,2.4,2.8,3.6,-1.8,1.55,3.040421333,102,2,0,518.68,0.02,0.06,1.61,3.17,0.72,9.19,9.32,0.1,0.72,0.01,2.21,28.81,72.13,20.16
1/1/2020,-6.4,-6.2,2.1,3.8,-6.4,0.65,2.248194,102,2,0,513.29,0.02,0.15,1.66,3.17,0.36,9.59,9.36,0.15,0.84,0.01,2.36,29.23,71.78,19.19
4/1/2020,-25.3,-32.1,12.3,12.96666667,-25.3,0.08,0.1424669,102,2,0,502.19,0.03,0.18,1.58,3.01,0.75,8.27,10.71,0.08,1.07,0.01,2.22,54.13,73.11,19.05
7/1/2020,65.2,43,6.9,8.833333333,65.2,0.09,2.964512033,102,2,0,487.77,0.01,0.13,1.55,2.95,0.78,8.41,11.24,0.08,0.93,0.01,2.24,50.98,73.59,19.44
10/1/2020,-31.4,3.9,3.7,6.766666667,-31.4,0.09,1.5928098,102,2,0,485.94,0.02,0.1,1.58,3.01,0.86,8.08,12.04,0.19,0.92,0,2.28,43.38,74.82,19.39
1/1/2021,2.4,10.8,14.5,6.2,2.4,0.07,2.210196567,102,2,0,466.56,0.01,0.04,1.49,2.92,0.81,8.41,14,0.11,0.94,0,2.1,45.39,75.8,19.75
4/1/2021,0.7,12.1,-4.4,5.933333333,0.7,0.08,3.645780667,102,2,0,459.78,0.01,0.03,1.48,2.91,0.76,8.89,14.65,0.08,0.93,0,2.19,39.61,77.01,20
7/1/2021,-4.3,3,-1.5,5.133333333,-4.3,0.08,3.130806667,102,2,0,456.88,0.02,0.03,1.49,2.98,0.74,8.55,15,0.06,0.99,0,2.15,31.9,77.36,20.12
10/1/2021,4.3,3.1,-0.4,4.2,4.3,0.08,4.981101667,102,2,0,457.19,0.01,0.03,1.51,2.92,0.69,9.19,15.21,0.09,0.95,0,2.16,28.94,77.77,19.83
1/1/2022,-8.6,1.3,-12.8,3.8,-8.6,0.2,6.516352,102,2,0,461.18,0.01,0.03,1.49,2.89,0.55,9.31,16.09,0.1,1.01,0,2.37,28.14,78.96,18.89
4/1/2022,1,2,-5.7,3.6,1,1.21,7.109787,102,2,0,477.38,0.01,0.05,1.49,3.06,0.55,10.7,16.28,0.25,1.22,0,2.41,27.95,78.95,18.64
7/1/2022,3.8,2.3,-3.8,3.566666667,3.8,2.56,6.988024333,102,2,0,485.9,0.01,0.06,1.5,3.27,0.69,10.28,16.47,0.21,1.04,0,2.51,26.88,78.32,18.45
10/1/2022,-0.6,1,-1.4,3.6,-0.6,4.1,5.869925,102,2,0,492.7,0.01,0.06,1.5,3.3,0.78,10.18,16.58,0,0.99,0,2.39,26.11,76.55,18.44
