time,rgdpi,rexp,rincome,unemp,rgdp,fedfund,inflation,bank_id,size,commercial,concent_re,npl_re,provision,personnel,nii_avgass,netinc,concent_ind,dep_dem,npl_cc,concent_agro,concent_cc,concent_auto,concent_commind,dep_core,tier1
1/1/2003,1.6,2,1.5,5.866666667,1.6,1.25,2.1737766,5,2,1,505.57,0.1,0.19,1.6,4.17,1.26,49.84,9.65,0.6,7.96,1.08,0,113.28,66.86,12.08
4/1/2003,1.5,4.7,2,6.133333333,1.5,1.22,1.3430789,5,2,1,509.63,0.1,0.21,1.59,4.16,1.28,48.76,9.81,0.59,8.61,1.07,0,112.5,66.87,12.02
7/1/2003,3.2,5.8,3.6,6.133333333,3.2,1.01,2.484186333,5,2,1,508.05,0.1,0.19,1.59,4.12,1.26,47.01,9.9,0.54,8.44,1.01,0,110.48,66.96,12.06
10/1/2003,-2.1,2.8,3.3,5.833333333,-2.1,0.98,1.911687133,5,2,1,515.46,0.08,0.21,1.59,4.14,1.17,45.26,10.01,0.54,8.14,0.99,0,112.17,66.48,11.95
1/1/2004,-2.4,3.8,3.8,5.7,-2.4,1,2.817922467,5,2,1,522.03,0.09,0.16,1.58,4.1,1.2,43.66,9.96,0.58,7.85,0.94,0,110.53,66.4,11.98
4/1/2004,0.9,2.2,3.5,5.6,0.9,1.03,2.310066167,5,2,1,530.89,0.08,0.17,1.57,4.09,1.21,42.77,10.1,0.51,8.16,0.86,0,109.42,66,11.88
7/1/2004,0.6,4.8,2.5,5.433333333,0.6,1.61,1.9269524,5,2,1,534.74,0.07,0.16,1.57,4.17,1.26,41.98,10.07,0.49,8.34,0.83,0,107.34,65.22,11.9
10/1/2004,0.4,4.6,3.5,5.433333333,0.4,2.16,2.204867667,5,2,1,542.85,0.06,0.18,1.57,4.2,1.21,40.6,10.04,0.44,7.79,0.83,0,106.47,64.76,11.85
1/1/2005,0.3,2.6,1.8,5.3,0.3,2.63,2.546322033,5,2,1,546.23,0.06,0.15,1.57,4.15,1.22,38.45,9.82,0.46,7.39,0.73,0,105.77,64.23,11.87
4/1/2005,-2.5,4.5,1.7,5.1,-2.5,3.04,2.124910003,5,2,1,553.33,0.06,0.16,1.57,4.23,1.28,36.69,9.82,0.39,8.16,0.74,0,106.98,63.04,11.79
