time,rgdpi,rexp,rincome,unemp,rgdp,fedfund,inflation,bank_id,size,commercial,concent_re,npl_re,provision,personnel,nii_avgass,netinc,concent_ind,dep_dem,npl_cc,concent_agro,concent_cc,concent_auto,concent_commind,dep_core,tier1
1/1/2003,1.6,2,1.5,5.866666667,1.6,1.25,2.1737766,103,1,0,571.62,0.08,0.07,1.45,3.63,0.78,20.98,5.41,0.67,0.29,0.05,0,23.4,72.1,17.32
4/1/2003,1.5,4.7,2,6.133333333,1.5,1.22,1.3430789,103,1,0,564.54,0.09,0.07,1.44,3.53,0.84,20.45,5.56,0.68,0.32,0.05,0,24.42,72.13,17.39
7/1/2003,3.2,5.8,3.6,6.133333333,3.2,1.01,2.484186333,103,1,0,561.77,0.11,0.06,1.44,3.46,0.76,20.96,5.62,0.19,0.33,0.06,0,24.71,71.62,17.34
10/1/2003,-2.1,2.8,3.3,5.833333333,-2.1,0.98,1.911687133,103,1,0,563.51,0.1,0.07,1.45,3.46,0.66,20.06,5.63,0.43,0.32,0.06,0,25.73,71.13,17.53
1/1/2004,-2.4,3.8,3.8,5.7,-2.4,1,2.817922467,103,1,0,557.58,0.11,0.06,1.48,3.49,0.71,19.66,5.64,0.82,0.32,0.04,0,26.06,70.72,17.54
4/1/2004,0.9,2.2,3.5,5.6,0.9,1.03,2.310066167,103,1,0,566.07,0.1,0.07,1.49,3.47,0.65,19.42,5.89,0.57,0.27,0.04,0,26.38,70.64,17.35
7/1/2004,0.6,4.8,2.5,5.433333333,0.6,1.61,1.9269524,103,1,0,577.8,0.11,0.06,1.48,3.49,0.7,20.29,5.88,0.8,0.38,0.05,0,25.18,69.7,17.5
10/1/2004,0.4,4.6,3.5,5.433333333,0.4,2.16,2.204867667,103,1,0,578.55,0.1,0.09,1.49,3.56,0.62,20.03,5.9,0.41,0.43,0.04,0,26.28,69.12,17.63
1/1/2005,0.3,2.6,1.8,5.3,0.3,2.63,2.546322033,103,1,0,582.85,0.07,0.07,1.52,3.53,0.63,20.7,6.04,0.83,0.53,0.05,0,27.31,68.76,17.52
4/1/2005,-2.5,4.5,1.7,5.1,-2.5,3.04,2.124910003,103,1,0,577.64,0.07,0.07,1.53,3.52,0.67,21.24,6.05,0.94,0.5,0.04,0,27.17,68.28,17.67
7/1/2005,1.2,3.4,1.4,4.966666667,1.2,3.62,2.467696767,103,1,0,580.3,0.08,0.07,1.54,3.48,0.62,21.33,6.1,0.66,0.46,0.04,0,27.1,67.57,17.68
10/1/2005,-0.9,0.7,1,4.966666667,-0.9,4.16,2.745949233,103,1,0,585.18,0.08,0.08,1.56,3.45,0.56,22.11,6.16,0.43,0.59,0.05,0,27.73,66.5,17.47
1/1/2006,3.2,4.4,4.3,4.733333333,3.2,4.59,2.995864633,103,1,0,590.8,0.07,0.07,1.55,3.4,0.53,22.78,6.13,0.42,0.76,0.06,0,28.11,65.58,17.42
4/1/2006,-4.5,2.1,3.7,4.633333333,-4.5,4.99,3.937975233,103,1,0,594.44,0.05,0.06,1.54,3.32,0.52,23.25,6.07,0.37,0.51,0.05,0,27.38,64.65,17.25
7/1/2006,-0.4,2.6,3.5,4.633333333,-0.4,5.25,3.173847167,103,1,0,602.12,0.06,0.07,1.54,3.24,0.47,24.08,6.24,0.94,0.69,0.05,0,27.69,63.12,17.14
10/1/2006,2.8,3.9,3.9,4.433333333,2.8,5.24,2.397725133,103,1,0,598.98,0.07,0.07,1.54,3.14,0.43,23.92,6.21,2.18,0.7,0.05,0,27.87,62.75,17.15
1/1/2007,-2.2,2.5,2.6,4.5,-2.2,5.26,2.935688833,103,1,0,600.24,0.08,0.06,1.56,3.12,0.42,22.46,6.02,1.5,0.69,0.05,0,27.93,63.06,17.06
