time,rgdpi,rexp,rincome,unemp,rgdp,fedfund,inflation,bank_id,size,commercial,concent_re,npl_re,provision,personnel,nii_avgass,netinc,concent_ind,dep_dem,npl_cc,concent_agro,concent_cc,concent_auto,concent_commind,dep_core,tier1
1/1/2003,1.6,2,1.5,5.866666667,1.6,1.25,2.1737766,6,1,1,518.21,0.1,0.19,1.8,4.34,1.1,45.22,13.93,0.63,4.9,0.64,0,115.68,71.6,12.44
4/1/2003,1.5,4.7,2,6.133333333,1.5,1.22,1.3430789,6,1,1,510.09,0.12,0.2,1.78,4.32,1.14,46.18,13.77,0.64,6.86,0.65,0,110,71.35,12.64
7/1/2003,3.2,5.8,3.6,6.133333333,3.2,1.01,2.484186333,6,1,1,505.54,0.12,0.19,1.78,4.3,1.11,45.21,13.89,0.53,7.06,0.62,0,107.38,71.32,12.78
10/1/2003,-2.1,2.8,3.3,5.833333333,-2.1,0.98,1.911687133,6,1,1,508.54,0.12,0.24,1.78,4.32,1,44.47,13.85,0.45,6.65,0.62,0,106.54,71.04,12.8
1/1/2004,-2.4,3.8,3.8,5.7,-2.4,1,2.817922467,6,1,1,512.65,0.1,0.17,1.77,4.3,1.05,42.06,13.93,0.46,6.49,0.55,0,105.93,70.56,12.82
4/1/2004,0.9,2.2,3.5,5.6,0.9,1.03,2.310066167,6,1,1,514.58,0.11,0.16,1.76,4.28,1.08,40.93,13.99,0.47,7.33,0.53,0,105.66,70.51,12.8
7/1/2004,0.6,4.8,2.5,5.433333333,0.6,1.61,1.9269524,6,1,1,519.22,0.1,0.17,1.76,4.36,1.14,40.4,14.11,0.48,7.63,0.52,0,103.57,69.92,12.83
10/1/2004,0.4,4.6,3.5,5.433333333,0.4,2.16,2.204867667,6,1,1,525.65,0.09,0.2,1.77,4.39,1.07,39.4,14.15,0.37,7.35,0.53,0,103.09,69.82,12.76
1/1/2005,0.3,2.6,1.8,5.3,0.3,2.63,2.546322033,6,1,1,521.5,0.07,0.14,1.76,4.36,1.11,37.12,14.39,0.45,6.77,0.46,0,100.4,69.73,12.89
4/1/2005,-2.5,4.5,1.7,5.1,-2.5,3.04,2.124910003,6,1,1,525.93,0.08,0.15,1.76,4.45,1.17,36.65,14.52,0.43,7.31,0.45,0,101.4,68.68,12.82
7/1/2005,1.2,3.4,1.4,4.966666667,1.2,3.62,2.467696767,6,1,1,526.54,0.09,0.15,1.76,4.48,1.18,36.18,14.54,0.4,7.64,0.43,0,99.39,67.99,12.85
10/1/2005,-0.9,0.7,1,4.966666667,-0.9,4.16,2.745949233,6,1,1,528.56,0.08,0.17,1.77,4.49,1.11,34.69,14.5,0.32,7.2,0.43,0,98.38,67.89,12.84
1/1/2006,3.2,4.4,4.3,4.733333333,3.2,4.59,2.995864633,6,1,1,528.4,0.08,0.14,1.78,4.41,1.1,33.72,14.07,0.24,6.71,0.39,0,100.74,67.22,12.83
4/1/2006,-4.5,2.1,3.7,4.633333333,-4.5,4.99,3.937975233,6,1,1,532.89,0.1,0.14,1.76,4.48,1.18,33.41,13.88,0.32,7.39,0.39,0,99.77,66.31,12.78
7/1/2006,-0.4,2.6,3.5,4.633333333,-0.4,5.25,3.173847167,6,1,1,529.23,0.1,0.13,1.76,4.46,1.18,33.41,13.73,0.32,7.67,0.38,0,98.38,65.23,12.85
10/1/2006,2.8,3.9,3.9,4.433333333,2.8,5.24,2.397725133,6,1,1,526.68,0.1,0.18,1.78,4.37,1,33.07,13.67,0.27,7.69,0.39,0,99.81,65.51,12.83
1/1/2007,-2.2,2.5,2.6,4.5,-2.2,5.26,2.935688833,6,1,1,528.93,0.1,0.11,1.78,4.23,0.99,31.88,12.61,0.34,7.33,0.36,0,97.07,65.51,12.9
4/1/2007,1.4,1.1,2.7,4.5,1.4,5.25,2.022198767,6,1,1,527.74,0.11,0.13,1.78,4.27,1.03,31.65,12.43,0.29,7.94,0.34,0,98.64,65.04,12.9
7/1/2007,-0.2,2.7,2.7,4.666666667,-0.2,4.94,2.585464433,6,1,1,528.94,0.12,0.16,1.78,4.28,1.02,31.88,12.27,0.29,7.94,0.34,0,98.73,63.98,12.9
10/1/2007,0.1,1.6,1.5,4.8,0.1,4.24,3.313651733,6,1,1,534.76,0.13,0.35,1.78,4.15,0.73,31.41,12.16,0.4,7.85,0.34,0,100.39,63.55,12.73
1/1/2008,-4.1,-0.5,1,5,-4.1,2.61,2.841821967,6,1,1,537.46,0.17,0.22,1.77,3.99,0.77,29.57,11.43,0.43,7.28,0.3,0,100.64,63.28,12.67
4/1/2008,3.9,1.1,2.4,5.333333333,3.9,2,3.016511267,6,1,1,539.33,0.16,0.32,1.76,3.96,0.65,29.12,11.53,0.26,7.82,0.29,0,101.47,62.93,12.61
7/1/2008,-4.4,-3,0.2,6,-4.4,1.81,3.1400506,6,1,1,542.51,0.19,0.45,1.75,4.02,0.43,28.85,11.55,0.35,8.03,0.29,0,99.81,62.42,12.63
10/1/2008,-6.4,-3.6,1.2,6.866666667,-6.4,0.16,1.536338433,6,1,1,549.65,0.19,0.92,1.73,3.88,-0.05,28.02,11.45,0.44,8.86,0.28,0,100.11,61.86,12.42
1/1/2009,3.9,-1,0.8,8.266666667,3.9,0.18,2.1323338,6,1,1,543.63,0.21,0.47,1.68,3.76,0.4,26.72,11.06,0.52,8.47,0.23,0,98.62,62.24,12.56
4/1/2009,3.9,-2,-0.6,9.3,3.9,0.21,1.560174167,6,1,1,538.65,0.21,0.68,1.67,3.81,0.14,26.76,11.11,0.4,9.1,0.23,0,95.78,62.64,12.62
7/1/2009,2.2,2.7,0.2,9.633333333,2.2,0.15,1.237772933,6,1,1,534.13,0.21,0.79,1.66,3.9,0.16,26.64,11.1,0.34,9.22,0.23,0,93.46,63.02,12.73
10/1/2009,2.8,-0.4,-0.7,9.933333333,2.8,0.12,0.37784177,6,1,1,534.43,0.17,1.24,1.65,3.92,-0.34,26.27,11.21,0.21,9.15,0.24,0,92.87,63.97,12.67
1/1/2010,-2.3,2.3,0.3,9.833333333,-2.3,0.16,0.556711583,6,1,1,522.18,0.19,0.5,1.63,3.93,0.37,24.57,11.32,0.27,8.01,0.21,0,90.54,76.34,12.93
4/1/2010,1.9,3.6,1.4,9.633333333,1.9,0.18,0.969854123,6,1,1,517.65,0.17,0.65,1.63,3.97,0.29,23.78,11.33,0.29,8.62,0.22,0,87.52,76.73,13.14
7/1/2010,-0.8,2.9,3.3,9.466666667,-0.8,0.19,0.767667653,6,1,1,509.19,0.15,0.68,1.63,3.98,0.27,22.95,11.36,0.29,8.49,0.21,0,85.16,77.26,13.32
10/1/2010,-1,2.5,3.5,9.5,-1,0.18,1.056716483,6,1,1,504.73,0.12,0.81,1.64,3.95,-0.06,23.08,11.69,0.24,8.54,0.22,0,85.12,78.32,13.38
1/1/2011,-3.1,1.5,3.7,9.033333333,-3.1,0.14,1.956926067,6,1,1,487.39,0.1,0.36,1.66,3.91,0.42,21.27,12.35,0.37,7.85,0.19,7.55,82.68,78.64,13.79
4/1/2011,3.7,0.4,1.7,9.066666667,3.7,0.09,1.421443067,6,1,1,483.92,0.13,0.45,1.66,4,0.41,21.1,12.55,0.3,8.78,0.2,7.11,81.36,78.75,14.02
7/1/2011,-2.9,1.2,1.5,9,-2.9,0.08,2.482953367,6,1,1,476.37,0.13,0.41,1.66,4.03,0.56,20.55,12.73,0.21,8.78,0.2,6.69,78.1,78.73,14.39
10/1/2011,4.8,0.7,1.4,8.633333333,4.8,0.07,2.338421633,6,1,1,476.54,0.09,0.55,1.66,3.99,0.27,19.73,12.95,0.18,8.74,0.21,6.39,77.68,79.35,14.43
1/1/2012,-1.3,2.9,2.3,8.266666667,-1.3,0.13,2.266565867,6,1,1,464.74,0.07,0.27,1.7,3.94,0.64,18.27,14.03,0.15,7.78,0.18,5.75,76.34,79.94,14.76
4/1/2012,-1.5,0.7,3.5,8.2,-1.5,0.16,1.883735467,6,1,1,463.67,0.06,0.27,1.69,3.93,0.67,18.06,14.15,0.07,8.83,0.17,5.56,75.03,79.86,14.81
7/1/2012,-1.1,0.8,2.4,8.033333333,-1.1,0.14,2.397231067,6,1,1,461.62,0.07,0.23,1.69,3.93,0.69,17.62,14.17,0.09,8.67,0.17,5.36,73.24,79.88,15.02
10/1/2012,-0.3,1.6,4.9,7.8,-0.3,0.16,1.896425767,6,1,1,464.45,0.07,0.27,1.7,3.89,0.6,17.45,14.43,0.13,9.27,0.19,5.36,73.72,80.37,14.91
1/1/2013,3.1,2.1,-1,7.733333333,3.1,0.14,2.224480567,6,1,1,456.44,0.05,0.14,1.72,3.76,0.69,16.77,15.38,0.09,8.38,0.19,5.23,73.44,80.89,15.17
4/1/2013,-2.9,0.6,-1.2,7.533333333,-2.9,0.09,0.997089787,6,1,1,455.63,0.07,0.14,1.72,3.79,0.74,16.8,15.38,0.08,9.47,0.19,5.29,74.08,80.64,15.15
7/1/2013,2.6,1.5,-0.1,7.233333333,2.6,0.08,2.4532932,6,1,1,455.06,0.05,0.12,1.72,3.81,0.72,16.68,15.46,0.17,9.36,0.19,5.21,73.03,80.56,15.23
10/1/2013,-0.3,3.2,-2.6,6.933333333,-0.3,0.09,1.819487333,6,1,1,459.08,0.05,0.11,1.72,3.84,0.7,16.7,15.7,0.09,10.15,0.2,5.28,74.09,80.82,15.16
1/1/2014,-4.3,1.5,2.7,6.666666667,-4.3,0.08,2.022960733,6,1,1,457.69,0.05,0.08,1.71,3.77,0.71,15.92,16.27,0.13,9.61,0.19,5.09,73.3,80.95,15.32
