DATE,CORESTICKM158SFRBATL
7/1/2020,2.964512033
10/1/2020,1.5928098
1/1/2021,2.210196567
4/1/2021,3.645780667
7/1/2021,3.130806667
10/1/2021,4.981101667
1/1/2022,6.516352
4/1/2022,7.109787
7/1/2022,6.988024333
10/1/2022,5.869925
1/1/2023,5.86055851
